ID;KreisPot;KreisVor;StadtPot;StadtVor;haPot;haVor;Coords;Wetter-ID
PR3_LAU_319;Herzogtum Lauenburg;-;Kollow;-;26. Feb;-;[53.4635666, 10.4590996];1736
PR3_LAU_320;Herzogtum Lauenburg;-;Worth;-;43.6;-;[53.4684056, 10.4092105];1736
PR3_LAU_402;Herzogtum Lauenburg;-;Groß Schenkenberg;-;19. Apr;-;[53.7933405, 10.5667695];3086
PR3_LAU_403;Herzogtum Lauenburg;-;Geesthacht, Wiershop;-;27. Sep;-;[53.4406229, 10.4101209];1736
PR3_LAU_404;Herzogtum Lauenburg;-;Krummesse, Lübeck, Hansestadt;-;67.0;-;[53.837732, 10.6628364];3086
PR3_LAU_501;Herzogtum Lauenburg;-;Krüzen;-;18. Aug;-;[53.4021848, 10.5267557];1736
PR1_NFL_002;Nordfriesland;Nordfriesland;Ellhöft, Süderlügum;Ellhöft, Süderlügum;219.3;171,4;[54.8797942, 8.9304493];2907
PR1_NFL_003;Nordfriesland;Nordfriesland;Ellhöft, Westre;Ellhöft, Westre;238.9;186,5;[54.8706236, 8.9696339];2907
PR1_NFL_006;Nordfriesland;Nordfriesland;Ellhöft, Süderlügum;Süderlügum;49.2;31;[54.8797942, 8.9304493];2907
PR1_NFL_009;Nordfriesland;Nordfriesland;Friedrich-Wilhelm-Lübke-Koog, Klanxbüll;Friedrich-Wilhelm-Lübke-Koog,Klanxbüll;41.2;41,2;[54.8622866, 8.6540733];2907
PR1_NFL_014;Nordfriesland;Nordfriesland;Friedrich-Wilhelm-Lübke-Koog, Klanxbüll;Friedrich-Wilhelm-Lübke-Koog,Klanxbüll;42.3;42,3;[54.8622866, 8.6540733];2907
PR1_NFL_017;Nordfriesland;-;Karlum, Lexgaard, Westre;-;52.5;-;[54.8383166, 8.9654483];2907
PR1_NFL_018;Nordfriesland;Nordfriesland;Emmelsbüll-Horsbüll;Emmelsbüll-Horsbüll;18. Aug;15,2;[54.8129862, 8.7001092];2907
PR1_NFL_019;Nordfriesland;Nordfriesland;Karlum;Karlum;40.2;34,7;[54.8289475, 8.973064];2907
PR1_NFL_022;Nordfriesland;-;Karlum, Lexgaard;-;19. Apr;-;[54.8303638, 8.955296];2907
PR1_NFL_024;Nordfriesland;-;Emmelsbüll-Horsbüll;-;36.6;-;[54.8129862, 8.7001092];2907
PR1_NFL_025;Nordfriesland;Nordfriesland;Lexgaard, Tinningstedt;Lexgaard, Tinningstedt;33.7;33,7;[54.8225247, 8.9341432];2907
PR1_NFL_026;Nordfriesland;Nordfriesland;Braderup, Klixbüll, Lexgaard, Tinningstedt;Braderup, Klixbüll, Lexgaard,Tinningstedt;170.8;149,1;[54.820784, 8.9124162];2907
PR1_NFL_028;Nordfriesland;Nordfriesland;Emmelsbüll-Horsbüll, Niebüll;Emmelsbüll-Horsbüll, Niebüll;147.2;144,2;[54.799898, 8.7629726];2907
PR1_NFL_029;Nordfriesland;Nordfriesland;Achtrup, Karlum, Ladelund;Achtrup, Karlum;125.2;64,1;[54.8199845, 9.0079982];2907
PR1_NFL_031;Nordfriesland;Nordfriesland;Bosbüll, Klixbüll;Bosbüll, Klixbüll;177.1;33,8;[54.8127114, 8.8756422];2907
PR1_NFL_032;Nordfriesland;Nordfriesland;Niebüll;Niebüll;69.6;54;[54.7868097, 8.8258359];2907
PR1_NFL_033;Nordfriesland;-;Achtrup;-;31. Jul;-;[54.7913561, 9.0270266];2907
PR1_NFL_035;Nordfriesland;Nordfriesland;Galmsbüll;Galmsbüll;305.2;171,8;[54.7709084, 8.7461668];2907
PR1_NFL_036;Nordfriesland;Nordfriesland;Achtrup;Achtrup;48.8;48,8;[54.7913561, 9.0270266];2907
PR1_NFL_037;Nordfriesland;-;Galmsbüll;-;29. Sep;-;[54.7709084, 8.7461668];2907
PR1_NFL_038;Nordfriesland;Nordfriesland;Achtrup, Holt, Schafflund, Sprakebüll;Achtrup, Holt, Schafflund, Sprakebüll;752.2;514,3;[54.7839655, 9.1089922];2907
PR1_NFL_039;Nordfriesland;Nordfriesland;Galmsbüll;Galmsbüll;172.0;116;[54.7709084, 8.7461668];2907
PR1_NFL_040;Nordfriesland;Nordfriesland;Klixbüll, Leck;Klixbüll, Leck;45.5;32,6;[54.7880023, 8.9312613];2907
PR1_NFL_043;Nordfriesland;Nordfriesland;Klixbüll, Risum-Lindholm;Klixbüll, Risum-Lindholm;310.6;303,4;[54.7806291, 8.8798847];2907
PR1_NFL_044;Nordfriesland;-;Leck, Sprakebüll, Stadum;-;92.9;-;[54.7625865, 9.0334872];2907
PR1_NFL_045;Nordfriesland;Nordfriesland;Galmsbüll;Galmsbüll;71.9;28,5;[54.7709084, 8.7461668];2907
PR1_NFL_046;Nordfriesland;Nordfriesland;Leck;Leck;127.9;97,7;[54.7739263, 8.9725059];2907
PR1_NFL_047;Nordfriesland;Nordfriesland;Dagebüll, Galmsbüll;Galmsbüll;215.4;29,7;[54.7507868, 8.7296152];2907
PR1_NFL_048;Nordfriesland;Nordfriesland;Sprakebüll;Sprakebüll;50.2;50,2;[54.774857, 9.0770564];2907
PR1_NFL_049;Nordfriesland;Nordfriesland;Risum-Lindholm, Stedesand;Stedesand;41.4;20,4;[54.7488406, 8.8977251];2907
PR1_NFL_050;Nordfriesland;-;Sprakebüll, Stadum;-;62.5;-;[54.7569166, 9.0639778];2907
PR1_NFL_051;Nordfriesland;-;Galmsbüll;-;45.8;-;[54.7709084, 8.7461668];2907
PR1_NFL_052;Nordfriesland;-;Galmsbüll;-;122.5;-;[54.7709084, 8.7461668];2907
PR1_NFL_053;Nordfriesland;-;Risum-Lindholm;-;60.1;-;[54.7591797, 8.8697526];2907
PR1_NFL_054;Nordfriesland;-;Hörup, Stadum;-;49.1;-;[54.7418625, 9.0771451];2907
PR1_NFL_056;Nordfriesland;Nordfriesland;Dagebüll, Risum-Lindholm;Dagebüll, Risum-Lindholm;99.4;99,4;[54.7449224, 8.7914081];2907
PR1_NFL_057;Nordfriesland;Nordfriesland;Dagebüll, Galmsbüll, Risum-Lindholm;Risum-Lindholm;90.2;64,8;[54.7535844, 8.7763277];2907
PR1_NFL_060;Nordfriesland;Nordfriesland;Enge-Sande, Stadum;Enge-Sande, Stadum;85.5;81,7;[54.7356366, 9.0082989];2907
PR1_NFL_062;Nordfriesland;Nordfriesland;Enge-Sande;Enge-Sande;40.7;40,7;[54.7322969, 8.9656986];2907
PR1_NFL_067;Nordfriesland;-;Goldelund, Lindewitt;-;35.5;-;[54.6880965, 9.1519693];2907
PR1_NFL_069;Nordfriesland;Nordfriesland;Goldebek, Goldelund, Lindewitt;Goldebek, Goldelund, Lindewitt;202.9;95;[54.6851656, 9.1499533];2907
PR1_NFL_071;Nordfriesland;-;Goldelund, Lütjenholm;-;50.8;-;[54.6814172, 9.0670585];2907
PR1_NFL_072;Nordfriesland;Nordfriesland;Goldebek, Lindewitt;Goldebek, Lindewitt;391.6;293;[54.6883182, 9.1705004];1379
PR1_NFL_073;Nordfriesland;Nordfriesland;Langenhorn;Langenhorn;132.1;132,1;[54.6667, 8.91667];2907
PR1_NFL_074;Nordfriesland;Nordfriesland;Högel, Lütjenholm;Lütjenholm;61.9;41,1;[54.6636972, 9.0422986];7298
PR1_NFL_075;Nordfriesland;-;Bordelum;-;59.6;-;[54.6333, 8.93333];7298
PR1_NFL_076;Nordfriesland;-;Langenhorn;-;34.2;-;[54.6667, 8.91667];2907
PR1_NFL_077;Nordfriesland;-;Goldebek, Joldelund;-;16. Apr;-;[54.6645246, 9.1417285];7298
PR1_NFL_079;Nordfriesland;-;Högel;-;34.8;-;[54.6434203, 9.0593395];7298
PR1_NFL_080;Nordfriesland;Nordfriesland;Bordelum, Langenhorn;Bordelum, Langenhorn;263.1;263,1;[54.65, 8.925];7298
PR1_NFL_081;Nordfriesland;-;Goldebek, Goldelund, Joldelund;-;144.6;-;[54.6693032, 9.130772];7298
PR1_NFL_082;Nordfriesland;Nordfriesland;Joldelund, Löwenstedt;Joldelund, Löwenstedt;210.3;155,7;[54.6360638, 9.1553344];7298
PR1_NFL_084;Nordfriesland;Nordfriesland;Ockholm, Reußenköge;Reußenköge;88.8;16,6;[54.6354692, 8.8736852];4919
PR1_NFL_085;Nordfriesland;Nordfriesland;Janneby, Jörl, Lindewitt, Löwenstedt;Jörl, Lindewitt, Löwenstedt;540.9;287,5;[54.6387567, 9.2405933];1379
PR1_NFL_086;Nordfriesland;Nordfriesland;Bordelum, Högel, Sönnebüll, Vollstedt;Bordelum, Högel, Sönnebüll, Vollstedt;132.0;132;[54.6321097, 9.0077581];7298
PR1_NFL_087;Nordfriesland;Nordfriesland;Bordelum, Langenhorn, Reußenköge;Bordelum, Langenhorn, Reußenköge;517.8;517,8;[54.6351352, 8.9231517];7298
PR1_NFL_089;Nordfriesland;Nordfriesland;Högel, Vollstedt;Högel, Vollstedt;144.0;110,5;[54.6335991, 9.0507193];7298
PR1_NFL_090;Nordfriesland;Nordfriesland;Drelsdorf, Högel, Joldelund, Kolkerheide,Löwenstedt, Vollstedt;Drelsdorf, Högel, Joldelund, Vollstedt;477.1;197,8;[54.6285483, 9.0968922];7298
PR1_NFL_091;Nordfriesland;Nordfriesland;Breklum, Sönnebüll;Breklum, Sönnebüll;18. Mrz;18,3;[54.6168689, 8.9891959];7298
PR1_NFL_093;Nordfriesland;-;Drelsdorf, Joldelund, Kolkerheide, Norstedt;-;71.7;-;[54.6174831, 9.1085191];7298
PR1_NFL_094;Nordfriesland;Nordfriesland;Bordelum, Reußenköge;Reußenköge;400.4;303,4;[54.6193528, 8.9263926];7298
PR1_NFL_095;Nordfriesland;Nordfriesland;Reußenköge;Reußenköge;133.5;120,7;[54.6054055, 8.9194551];7298
PR1_NFL_096;Nordfriesland;Nordfriesland;Haselund, Löwenstedt, Norstedt, Viöl;Haselund, Löwenstedt, Norstedt, Viöl;510.9;362,7;[54.5939705, 9.1641951];7298
PR1_NFL_097;Nordfriesland;Nordfriesland;Almdorf, Struckum;Almdorf, Struckum;16.0;16;[54.585038, 9.0038286];7298
PR1_NFL_098;Nordfriesland;-;Drelsdorf;-;23. Jan;-;[54.6050604, 9.043982];7298
PR1_NFL_099;Nordfriesland;-;Behrendorf, Haselund, Sollwitt, Viöl;-;92.0;-;[54.5806189, 9.2015989];7298
PR1_NFL_100;Nordfriesland;Nordfriesland;Bredstedt, Breklum, Reußenköge, Struckum;Breklum, Reußenköge, Struckum;349.1;280,8;[54.605553, 8.9648669];7298
PR1_NFL_101;Nordfriesland;Nordfriesland;Bohmstedt;Bohmstedt;15. Feb;15,2;[54.5806259, 9.0430643];7298
PR1_NFL_102;Nordfriesland;Nordfriesland;Behrendorf, Bondelum, Sollwitt,Süderhackstedt;Behrendorf, Sollwitt, Süderhackstedt;261.7;98,8;[54.5776585, 9.2508438];7298
PR1_NFL_103;Nordfriesland;Nordfriesland;Reußenköge;Reußenköge;115.1;115,1;[54.6054055, 8.9194551];7298
PR1_NFL_104;Nordfriesland;Nordfriesland;Behrendorf;Behrendorf;92.1;87,3;[54.5641379, 9.221027];7298
PR1_NFL_107;Nordfriesland;Nordfriesland;Bondelum, Sollerup, Treia;Bondelum, Sollerup;80.0;41,7;[54.5496742, 9.3024574];4466
PR1_NFL_110;Nordfriesland;-;Ahrenviölfeld, Bondelum;-;63.8;-;[54.5475384, 9.2707179];7298
PR1_NFL_111;Nordfriesland;Nordfriesland;Ahrenviölfeld, Bondelum, Treia;Ahrenviölfeld, Bondelum, Treia;133.5;124,2;[54.5366043, 9.2875391];7298
PR1_NFL_112;Nordfriesland;Nordfriesland;Ahrenviöl, Ahrenviölfeld;Ahrenviöl, Ahrenviölfeld;90.0;78;[54.5316718, 9.2406795];7298
PR1_NFL_113;Nordfriesland;Nordfriesland;Arlewatt, Horstedt, Olderup, Schwesing;Arlewatt, Horstedt, Olderup,Schwesing;116.4;82,8;[54.5248761, 9.0980756];7298
PR1_NFL_115;Nordfriesland;Nordfriesland;Oster-Ohrstedt;Oster-Ohrstedt;64.0;64;[54.5167641, 9.2269089];7298
PR1_NFL_118;Nordfriesland;Nordfriesland;Wittbek;Wittbek;72.5;72,5;[54.4718628, 9.2040368];7298
PR1_NFL_120;Nordfriesland;Nordfriesland;Wittbek;Wittbek;46.3;35,5;[54.4718628, 9.2040368];7298
PR1_NFL_121;Nordfriesland;-;Mildstedt, Schwesing;-;15. Feb;-;[54.4777579, 9.1148949];7298
PR1_NFL_122;Nordfriesland;Nordfriesland;Rantrum, Schwesing, Wester-Ohrstedt,Wittbek;Rantrum, Wittbek;177.6;74;[54.4793591, 9.1637656];7298
PR1_NFL_123;Nordfriesland;-;Ostenfeld (Husum), Wittbek;-;28. Apr;-;[54.4677263, 9.2183939];7298
PR1_NFL_124;Nordfriesland;-;Wittbek;-;23. Jul;-;[54.4718628, 9.2040368];7298
PR1_NFL_125;Nordfriesland;Nordfriesland;Oldersbek, Ostenfeld (Husum), Rantrum,Winnert;Oldersbek, Ostenfeld (Husum),Rantrum, Winnert;444.1;257,5;[54.4460106, 9.181572];7298
PR1_NFL_135;Nordfriesland;Nordfriesland;Schwesing, Wester-Ohrstedt;Schwesing, Wester-Ohrstedt;106.1;86,2;[54.5022534, 9.1623902];7298
PR1_NFL_301;Nordfriesland;Nordfriesland;Dagebüll;Dagebüll;116.0;115,5;[54.7306651, 8.7130636];2907
PR1_NFL_302;Nordfriesland;Nordfriesland;Simonsberg, Südermarsch;Südermarsch;185.0;127,6;[54.4358063, 9.0138425];7298
PR1_NFL_303;Nordfriesland;Nordfriesland;Simonsberg;Simonsberg;18. Sep;18,9;[54.4365923, 8.9600588];7298
PR1_NFL_304;Nordfriesland;-;Simonsberg, Witzwort;-;86.0;-;[54.4180586, 8.9733508];7298
PR1_NFL_305;Nordfriesland;-;Koldenbüttel, Witzwort;-;50.5;-;[54.3929041, 9.0273141];7298
PR1_NFL_306;Nordfriesland;-;Witzwort;-;41.7;-;[54.3995249, 8.9866427];7298
PR1_NFL_307;Nordfriesland;-;Witzwort;-;46.5;-;[54.3995249, 8.9866427];7298
PR1_NFL_308;Nordfriesland;Nordfriesland;Uelvesbüll;Uelvesbüll;97.1;84,4;[54.4166642, 8.9228489];4919
PR1_NFL_309;Nordfriesland;Nordfriesland;Oldenswort, Witzwort;Oldenswort;294.2;106,9;[54.3853769, 8.9638975];4919
PR1_NFL_310;Nordfriesland;-;Oldenswort, Witzwort;-;151.2;-;[54.3853769, 8.9638975];4919
PR1_NFL_311;Nordfriesland;-;Oldenswort, Tönning;-;84.0;-;[54.3450608, 8.9424285];4919
PR1_NFL_313;Nordfriesland;-;Kotzenbüll, Oldenswort, Tönning;-;214.3;-;[54.3409272, 8.9299947];4919
PR1_NFL_315;Nordfriesland;-;Oldenswort;-;41.2;-;[54.3712288, 8.9411522];4919
PR1_NFL_316;Nordfriesland;-;Oldenswort;-;44.6;-;[54.3712288, 8.9411522];4919
PR1_NFL_317;Nordfriesland;-;Oldenswort, Tetenbüll;-;112.7;-;[54.3612978, 8.8836607];4919
PR1_NFL_318;Nordfriesland;-;Tetenbüll;-;53.1;-;[54.3513668, 8.8261692];4393
PR1_NFL_319;Nordfriesland;-;Tating;-;99.5;-;[54.3256494, 8.7063937];4393
PR1_NFL_401;Nordfriesland;-;Sylt;-;33.7;-;[54.9017773, 8.331346];3032
PR1_NFL_402;Nordfriesland;-;Sylt;-;77.6;-;[54.9017773, 8.331346];3032
PR1_NFL_403;Nordfriesland;-;Alkersum, Borgsum, Midlum, Nieblum,Oevenum, Oldsum, Süderende, Wrixum;-;669.4;-;[54.7101873, 8.4932484];1963
PR1_NFL_404;Nordfriesland;-;Oevenum;-;25.0;-;[54.7108916, 8.5309084];1963
PR1_NFL_405;Nordfriesland;-;Süderlügum;-;28. Jan;-;[54.8725632, 8.9073837];2907
PR1_NFL_406;Nordfriesland;Nordfriesland;Bramstedtlund, Ladelund, Weesby;Bramstedtlund, Weesby;257.2;58,5;[54.8371988, 9.0868917];2907
PR1_NFL_407;Nordfriesland;-;Bramstedtlund, Ladelund;-;52.4;-;[54.8403869, 9.0543542];2907
PR1_NFL_409;Nordfriesland;-;Galmsbüll, Risum-Lindholm;-;89.5;-;[54.7650441, 8.8079597];2907
PR1_NFL_410;Nordfriesland;-;Treia;-;15. Feb;-;[54.5147361, 9.3211815];2437
PR1_NFL_411;Nordfriesland;-;Goldelund;-;21.0;-;[54.6788605, 9.1088592];2907
PR1_NFL_412;Nordfriesland;-;Immenstedt;-;19.0;-;[54.5393275, 9.1633145];7298
PR1_NFL_413;Nordfriesland;-;Ahrenshöft, Viöl;-;39.5;-;[54.5638885, 9.1214645];7298
PR1_NFL_414;Nordfriesland;Nordfriesland;Elisabeth-Sophien-Koog, Nordstrand;Elisabeth-Sophien-Koog, Nordstrand;50.6;41,4;[54.4989495, 8.8726774];4919
PR1_NFL_415;Nordfriesland;-;Koldenbüttel, Witzwort;-;31. Jul;-;[54.3929041, 9.0273141];7298
PR1_NFL_416;Nordfriesland;-;Witzwort;-;21. Apr;-;[54.3995249, 8.9866427];7298
PR1_NFL_417;Nordfriesland;-;Oldenswort;-;22. Apr;-;[54.3712288, 8.9411522];4919
PR1_NFL_418;Nordfriesland;-;Kotzenbüll, Tönning;-;39.0;-;[54.3257764, 8.924416];4919
PR1_NFL_419;Nordfriesland;-;Garding, Kirchspiel, Katharinenheerd,Tönning, Welt;-;216.7;-;[54.3226504, 8.8290435];4393
PR1_NFL_420;Nordfriesland;-;Tönning;-;61.6;-;[54.3188928, 8.9437049];4919
PR1_NFL_421;Nordfriesland;-;Tönning;-;152.1;-;[54.3188928, 8.9437049];4919
PR1_NFL_425;Nordfriesland;Nordfriesland;Bramstedtlund, Holt, Ladelund;Bramstedtlund, Holt, Ladelund;372.3;187,3;[54.8305968, 9.0853039];2907
PR1_NFL_426;Nordfriesland;-;Ahrenshöft;-;21. Jun;-;[54.5581443, 9.0713273];7298
PR1_NFL_427;Nordfriesland;Nordfriesland;Karlum, Ladelund;Karlum, Ladelund;72.5;55,9;[54.8342987, 8.998484];2907
PR1_NFL_501;Nordfriesland;-;Ahrenviöl, Immenstedt;-;84.0;-;[54.5346029, 9.1845236];7298
PR1_NFL_502;Nordfriesland;-;Ladelund;-;31.2;-;[54.8396499, 9.023904];2907
PR1_NFL_503;Nordfriesland;-;Ladelund;-;41.3;-;[54.8396499, 9.023904];2907
PR1_NFL_504;Nordfriesland;Nordfriesland;Olderup;Olderup;16.0;16;[54.538708, 9.1101719];7298
PR3_OHS_001;Ostholstein;Ostholstein;Fehmarn;Fehmarn;601.1;360,5;[54.4687375, 11.1340848];5516
PR3_OHS_002;Ostholstein;-;Fehmarn;-;20. Mai;-;[54.4687375, 11.1340848];5516
PR3_OHS_003;Ostholstein;-;Fehmarn;-;219.0;-;[54.4687375, 11.1340848];5516
PR3_OHS_005;Ostholstein;Ostholstein;Fehmarn;Fehmarn;203.2;98,1;[54.4687375, 11.1340848];5516
PR3_OHS_007;Ostholstein;-;Fehmarn;-;144.6;-;[54.4687375, 11.1340848];5516
PR3_OHS_008;Ostholstein;-;Fehmarn;-;141.9;-;[54.4687375, 11.1340848];5516
PR3_OHS_010;Ostholstein;Ostholstein;Gremersdorf, Heiligenhafen;Heiligenhafen;93.3;19,9;[54.3497369, 10.9554449];5877
PR3_OHS_011;Ostholstein;-;Gremersdorf, Großenbrode, Heiligenhafen;-;45.0;-;[54.3536884, 10.9982149];5877
PR3_OHS_012;Ostholstein;Ostholstein;Gremersdorf, Großenbrode, Neukirchen;Gremersdorf, Großenbrode,Neukirchen;218.2;181,7;[54.5209628, 10.2499972];2961
PR3_OHS_013;Ostholstein;-;Neukirchen;-;15. Sep;-;[54.8687122, 8.7339915];2907
PR3_OHS_014;Ostholstein;-;Gremersdorf;-;68.2;-;[54.3325847, 10.932245];5877
PR3_OHS_015;Ostholstein;Ostholstein;Gremersdorf;Gremersdorf;84.7;34,7;[54.3325847, 10.932245];5877
PR3_OHS_017;Ostholstein;-;Gremersdorf;-;23. Jan;-;[54.3325847, 10.932245];5877
PR3_OHS_018;Ostholstein;-;Neukirchen;-;79.9;-;[54.8687122, 8.7339915];2907
PR3_OHS_019;Ostholstein;-;Heringsdorf, Neukirchen;-;22. Jun;-;[54.5843762, 9.8695575];4896
PR3_OHS_020;Ostholstein;-;Oldenburg in Holstein;-;42.0;-;[54.2922574, 10.8809805];5877
PR3_OHS_021;Ostholstein;Ostholstein;Göhl, Gremersdorf, Heringsdorf;Göhl, Gremersdorf;167.7;61,8;[54.306248, 10.9591107];5877
PR3_OHS_022;Ostholstein;Ostholstein;Heringsdorf, Neukirchen;Heringsdorf, Neukirchen;114.6;44,6;[54.5843762, 9.8695575];4896
PR3_OHS_023;Ostholstein;-;Wangels;-;24. Aug;-;[54.2733206, 10.7663663];5877
PR3_OHS_024;Ostholstein;-;Wangels;-;67.7;-;[54.2733206, 10.7663663];5877
PR3_OHS_025;Ostholstein;Ostholstein;Wangels;Wangels;96.7;96,7;[54.2733206, 10.7663663];5877
PR3_OHS_026;Ostholstein;-;Oldenburg in Holstein, Wangels;-;54.0;-;[54.282789, 10.8236734];5877
PR3_OHS_027;Ostholstein;Ostholstein;Wangels;Wangels;22. Mrz;22,3;[54.2733206, 10.7663663];5877
PR3_OHS_028;Ostholstein;Ostholstein;Göhl, Heringsdorf;Göhl, Heringsdorf;384.2;306,5;[54.2930797, 10.9725435];5877
PR3_OHS_029;Ostholstein;Ostholstein;Wangels;Wangels;71.7;36,9;[54.2733206, 10.7663663];5877
PR3_OHS_030;Ostholstein;-;Wangels;-;47.6;-;[54.2733206, 10.7663663];5877
PR3_OHS_033;Ostholstein;Ostholstein;Harmsdorf, Lensahn, Oldenburg in Holstein;Harmsdorf, Lensahn;180.8;78,5;[54.0712265, 10.8303127];3897
PR3_OHS_035;Ostholstein;Ostholstein;Damlos;Damlos;22. Jun;22,6;[54.2443892, 10.9053011];5877
PR3_OHS_037;Ostholstein;Ostholstein;Grömitz, Kabelhorst, Riepsdorf;Grömitz, Kabelhorst, Riepsdorf;153.0;121,5;[54.1949746, 10.9512548];3897
PR3_OHS_040;Ostholstein;Ostholstein;Grömitz, Riepsdorf;Grömitz, Riepsdorf;108.4;95;[54.184209, 10.9651286];3897
PR3_OHS_041;Ostholstein;Ostholstein;Grömitz, Riepsdorf;Grömitz, Riepsdorf;85.8;34,8;[54.184209, 10.9651286];3897
PR3_OHS_044;Ostholstein;-;Beschendorf;-;16.0;-;[54.1834961, 10.8751201];3897
PR3_OHS_045;Ostholstein;-;Lensahn;-;58.0;-;[54.2208531, 10.8859981];5877
PR3_OHS_047;Ostholstein;Ostholstein;Schönwalde am Bungsberg;Schönwalde am Bungsberg;57.2;57,2;[54.1876023, 10.7532065];3897
PR3_OHS_048;Ostholstein;-;Beschendorf, Grömitz, Manhagen,Schashagen;-;98.5;-;[54.1645042, 10.9086379];3897
PR3_OHS_049;Ostholstein;Ostholstein;Altenkrempe, Schönwalde am Bungsberg;Altenkrempe, Schönwalde amBungsberg;41.8;34,9;[54.1596495, 10.7903467];3897
PR3_OHS_050;Ostholstein;Ostholstein;Grömitz, Schashagen;Schashagen;142.4;97,9;[54.1390792, 10.9224571];3897
PR3_OHS_051;Ostholstein;-;Altenkrempe;-;48.1;-;[54.1316968, 10.8274868];3897
PR3_OHS_052;Ostholstein;Ostholstein;Grömitz, Schashagen;Grömitz, Schashagen;178.0;161,3;[54.1390792, 10.9224571];3897
PR3_OHS_053;Ostholstein;-;Altenkrempe;-;25. Mai;-;[54.1316968, 10.8274868];3897
PR3_OHS_054;Ostholstein;-;Süsel;-;50.4;-;[54.0791463, 10.7132522];3897
PR3_OHS_055;Ostholstein;-;Süsel;-;49.0;-;[54.0791463, 10.7132522];3897
PR3_OHS_056;Ostholstein;-;Bosau;-;86.3;-;[54.1041743, 10.4300895];6163
PR3_OHS_057;Ostholstein;Ostholstein;Bosau;Bosau;252.2;43,3;[54.1041743, 10.4300895];6163
PR3_OHS_059;Ostholstein;Ostholstein;Ahrensbök, Bosau, Glasau, Süsel;Ahrensbök, Bosau, Glasau;410.2;99,4;[54.0602566, 10.5614065];6163
PR3_OHS_060;Ostholstein;-;Bosau, Glasau;-;273.7;-;[54.0744253, 10.4785546];6163
PR3_OHS_061;Ostholstein;-;Bosau;-;106.1;-;[54.1041743, 10.4300895];6163
PR3_OHS_062;Ostholstein;Ostholstein;Scharbeutz, Süsel;Scharbeutz, Süsel;339.4;298,6;[54.0528901, 10.7346001];3897
PR3_OHS_063;Ostholstein;-;Ahrensbök, Scharbeutz, Süsel;-;73.0;-;[54.0396033, 10.6814883];3897
PR3_OHS_064;Ostholstein;-;Ahrensbök;-;84.7;-;[54.0130295, 10.5752645];5078
PR3_OHS_065;Ostholstein;-;Ahrensbök, Scharbeutz;-;164.3;-;[54.0198318, 10.6656063];3897
PR3_OHS_066;Ostholstein;-;Ahrensbök;-;21.0;-;[54.0130295, 10.5752645];5078
PR3_OHS_067;Ostholstein;-;Ahrensbök;-;33.4;-;[54.0130295, 10.5752645];5078
PR3_OHS_068;Ostholstein;Ostholstein;Scharbeutz;Scharbeutz;37.7;35,6;[54.026634, 10.7559481];3897
PR3_OHS_069;Ostholstein;Ostholstein;Ahrensbök, Scharbeutz;Ahrensbök, Scharbeutz;117.4;116,4;[54.0198318, 10.6656063];3897
PR3_OHS_070;Ostholstein;-;Ahrensbök;-;18. Apr;-;[54.0130295, 10.5752645];5078
