KREIS;GEMEINDE;TYP;MODELL;HERSTELLER;LEISTUNG;LEISTUNGSBEZUG;OSTWERT (EPSG:4647);NORDWERT (EPSG:4647);INBETRIEBNAHME;BETREIBER;Coords;Wetter-ID
HH;Altenwerder;Enercon-126;Enercon E-70 E4/2000;Enercon;6000.0;kW Nennleist. Rotor.;32560845.0;5929336.0;2008.0;Windpark GmbH;[53.5047, 9.92056];1975
HH;Altenwerder;Enercon-126;Enercon E-70 E4/2300;Enercon;6000.0;kW Nennleist. Rotor.;32560845.0;5929336.0;2008.0;Windpark GmbH;[53.5047, 9.92056];1975
HH;Curslacker Deich;Südwind N3127;Vestas V112/3000;;270.0;kW Nennleist. Rotor.;32582645.0;5921815.0;1995.0;;[53.4645807, 10.2020093];1975
HH;Hohe Schaar;Enercon E-66/18.70;Vestas V112/3075;Enercon;1800.0;kW Nennleist. Rotor.;32563487.0;5927423.0;2000.0;;[53.4803887, 9.9820636];1975
HH;Hohe Schaar;Enercon E-66/18.70;Vestas V112/3300;Enercon;1800.0;kW Nennleist. Rotor.;32563487.0;5927423.0;2000.0;;[53.4803887, 9.9820636];1975
HH;Köhlbrandthöft;Nordex N117/3000;Vestas V112/3450;Nordex;3000.0;kW Nennleist. Rotor.;32562394.0;5932014.0;2014.0;Hamburg Energie;[53.531534, 9.942074];1975
HH;Neuenfelde;Nordex N27/150;Repower 3.2M114;Nordex;150.0;kW Nennleist. Rotor.;32552658.0;5928310.0;1993.0;NET OHG;[53.5182412, 9.8079161];1975
HH;Neuenfelde;Nordex N27/150;Enercon E-82/2000;Nordex;150.0;kW Nennleist. Rotor.;32552658.0;5928310.0;1993.0;NET OHG;[53.5182412, 9.8079161];1975
HH;Altengamme;AN Bonus 600/44;Enercon E-82/2300;AN Bonus;600.0;kW Nennleist. Rotor.;32583682.0;5923688.0;1996.0;NET OHG;[53.4443479, 10.2737961];1975
HH;Altengamme;AN Bonus 600/45;Enercon E-82/2350;AN Bonus;600.0;kW Nennleist. Rotor.;32583682.0;5923688.0;1996.0;NET OHG;[53.4443479, 10.2737961];1975
HH;Altengamme;Enercon E-40/5.40;Enercon E-82/3000;Enercon;500.0;kW Nennleist. Rotor.;32583682.0;5923688.0;1997.0;NET OHG;[53.4443479, 10.2737961];1975
HH;Altengamme;Enercon E-40/5.40;Enercon E-115/3000;Enercon;500.0;kW Nennleist. Rotor.;32583682.0;5923688.0;1997.0;NET OHG;[53.4443479, 10.2737961];1975
HH;Altengamme;Senvion MM100;Enercon E-115/3200;Senvion;2000.0;kW Nennleist. Rotor.;32583682.0;5923688.0;2017.0;NET OHG;[53.4443479, 10.2737961];1975
HH;Altengamme;Senvion MM100;Enercon E-115/4200;Senvion;2000.0;kW Nennleist. Rotor.;32583682.0;5923688.0;2017.0;NET OHG;[53.4443479, 10.2737961];1975
HH;Altengamme;Senvion MM100;Enercon E-101/3050;Senvion;2000.0;kW Nennleist. Rotor.;32583682.0;5923688.0;2017.0;NET OHG;[53.4443479, 10.2737961];1975
HH;Altengamme;Senvion MM100;Senvion 3.4 M104;Senvion;2000.0;kW Nennleist. Rotor.;32583682.0;5923688.0;2017.0;NET OHG;[53.4443479, 10.2737961];1975
HH;Altengamme;Senvion MM100;Senvion 3.4 M114;Senvion;2000.0;kW Nennleist. Rotor.;32583682.0;5923688.0;2017.0;NET OHG;[53.4443479, 10.2737961];1975
HH;Altengamme;Senvion MM100;Senvion 3.4 M122;Senvion;2000.0;kW Nennleist. Rotor.;32583682.0;5923688.0;2017.0;NET OHG;[53.4443479, 10.2737961];1975
HH;Curslack;Nordex N117/3000;Senvion 3.4 M140;Nordex;3000.0;kW Nennleist. Rotor.;32580204.0;5925359.0;2017.0;HAW Hamburg;[53.4544102, 10.2345966];1975
HH;Curslack;Nordex N117/2400;Nordex N117/2400;Nordex;2400.0;kW Nennleist. Rotor.;32580204.0;5925359.0;2017.0;HAW Hamburg;[53.4544102, 10.2345966];1975
HH;Curslack;Nordex N117/2400;Nordex N117/3000;Nordex;2400.0;kW Nennleist. Rotor.;32580204.0;5925359.0;2017.0;HAW Hamburg;[53.4544102, 10.2345966];1975
HH;Curslack;Nordex N117/2400;Nordex N117/3600;Nordex;2400.0;kW Nennleist. Rotor.;32580204.0;5925359.0;2017.0;HAW Hamburg;[53.4544102, 10.2345966];1975
HH;Curslack;Nordex N117/2400;REpower MM 82;Nordex;2400.0;kW Nennleist. Rotor.;32580204.0;5925359.0;2017.0;HAW Hamburg;[53.4544102, 10.2345966];1975
HH;Dradenau;Nordex N117/2400;Enercon E-66/1500;Nordex;2400.0;kW Nennleist. Rotor.;32560514.0;5930784.0;2013.0;Hamburg Energie, Eurogate;[53.5255026, 9.8994663];1975
HH;Dradenau;Nordex N100/2500;Enercon E-66/1800;Nordex;2500.0;kW Nennleist. Rotor.;32560514.0;5930784.0;2010.0;Hamburg Energie, Eurogate;[53.5255026, 9.8994663];1975
HH;Dradenau;Nordex N100/2500;Enercon E-66/2000;Nordex;2500.0;kW Nennleist. Rotor.;32560514.0;5930784.0;2010.0;Hamburg Energie, Eurogate;[53.5255026, 9.8994663];1975
HH;Francop;Micon M1500-600;Vestas V 66/1650;NEG Micon;600.0;kW Nennleist. Rotor.;32556363.0;5928198.0;1991.0;Plan 8;[53.5040949, 9.8776069];1975
HH;Francop;Micon M1500-600;Vestas V 66/2000;NEG Micon;600.0;kW Nennleist. Rotor.;32556363.0;5928198.0;1991.0;Plan 8;[53.5040949, 9.8776069];1975
HH;Francop;Micon M1500-600;Vestas V136/3450;NEG Micon;600.0;kW Nennleist. Rotor.;32556363.0;5928198.0;1991.0;Plan 8;[53.5040949, 9.8776069];1975
HH;Francop;Enercon E-40/5.40;Vestas V136/4000;Enercon;500.0;kW Nennleist. Rotor.;32556363.0;5928198.0;1996.0;Plan 8;[53.5040949, 9.8776069];1975
HH;Francop;Enercon E-40/5.40;Vestas V136/4200;Enercon;500.0;kW Nennleist. Rotor.;32556363.0;5928198.0;1996.0;Plan 8;[53.5040949, 9.8776069];1975
HH;Francop;Enercon E-40/5.40;REpower 3.4M104;Enercon;500.0;kW Nennleist. Rotor.;32556363.0;5928198.0;1996.0;Plan 8;[53.5040949, 9.8776069];1975
HH;Francop;Enercon E-40/6.44;Senvion 3.2M114;Enercon;600.0;kW Nennleist. Rotor.;32556363.0;5928198.0;1998.0;Plan 8;[53.5040949, 9.8776069];1975
HH;Francop;Enercon E-40/6.44;Senvion 3.2M122;Enercon;600.0;kW Nennleist. Rotor.;32556363.0;5928198.0;1998.0;Plan 8;[53.5040949, 9.8776069];1975
HH;Francop;Enercon E-40/6.44;Vestas V80;Enercon;600.0;kW Nennleist. Rotor.;32556363.0;5928198.0;1998.0;Plan 8;[53.5040949, 9.8776069];1975
HH;Francop;Enercon E-40/6.44;Siemens SWT 3.0-113;Enercon;600.0;kW Nennleist. Rotor.;32556363.0;5928198.0;1998.0;Plan 8;[53.5040949, 9.8776069];1975
HH;Francop;Vestas V90-2MW;Enercon E-138/4200;Vestas;2000.0;kW Nennleist. Rotor.;32556363.0;5928198.0;2013.0;Plan 8;[53.5040949, 9.8776069];1975
HH;Francop;Vestas V117-3.3MW;NEG Micon NM 64C/1500;Vestas;3300.0;kW Nennleist. Rotor.;32556363.0;5928198.0;2018.0;Plan 8;[53.5040949, 9.8776069];1975
HH;Francop;Vestas V117-3.3MW;NEG Micon NM 72C/1500;Vestas;3300.0;kW Nennleist. Rotor.;32556363.0;5928198.0;2018.0;Plan 8;[53.5040949, 9.8776069];1975
HH;Georgswerder;Enercon E-66/15.66;Enercon E-126/3500;Enercon;1500.0;kW Nennleist. Rotor.;32568378.0;5929531.0;1998.0;Hamburg Energie;[53.5063849, 10.0494435];1975
HH;Georgswerder;Repower MD77;Enercon E-126/4000;Repower;1500.0;kW Nennleist. Rotor.;32568378.0;5929531.0;2004.0;Hamburg Energie;[53.5063849, 10.0494435];1975
HH;Georgswerder;Repower 3.4M104;Enercon E-126/7500;Repower;3400.0;kW Nennleist. Rotor.;32568378.0;5929531.0;2011.0;Hamburg Energie;[53.5063849, 10.0494435];1975
HH;Neuengamme;Tacke TW 600;Vestas V150/4200;Tacke;600.0;kW Nennleist. Rotor.;32582106.0;5919890.0;2000.0;NET OHG;[53.4379045, 10.2260934];1975
HH;Neuengamme;Enercon E-40/5.40;Vestas V150/5600;Enercon;500.0;kW Nennleist. Rotor.;32582106.0;5919890.0;2003.0;NET OHG;[53.4379045, 10.2260934];1975
HH;Neuengamme;Enercon E-92;Tacke TW 600;Enercon;2000.0;kW Nennleist. Rotor.;32582106.0;5919890.0;2017.0;NET OHG;[53.4379045, 10.2260934];1975
HH;Neuengamme;Enercon E-92;Enercon E-70 E4/2600;Enercon;2000.0;kW Nennleist. Rotor.;32582106.0;5919890.0;2017.0;NET OHG;[53.4379045, 10.2260934];1975
HH;Neuengamme;Senvion MM100;Enercon E-70 E4/2900;Senvion;2000.0;kW Nennleist. Rotor.;32582106.0;5919890.0;2016.0;NET OHG;[53.4379045, 10.2260934];1975
HH;Neuengamme;Senvion MM100;Vestas V112/3000;Senvion;2000.0;kW Nennleist. Rotor.;32582106.0;5919890.0;2016.0;NET OHG;[53.4379045, 10.2260934];1975
HH;Neuengamme;Senvion MM100;Vestas V112/3075;Senvion;2000.0;kW Nennleist. Rotor.;32582106.0;5919890.0;2016.0;NET OHG;[53.4379045, 10.2260934];1975
HH;Neuengamme;Senvion MM100;Vestas V112/3300;Senvion;2000.0;kW Nennleist. Rotor.;32582106.0;5919890.0;2016.0;NET OHG;[53.4379045, 10.2260934];1975
HH;Neuland;Enercon E-40/5.40;Vestas V112/3450;Enercon;500.0;kW Nennleist. Rotor.;32568015.0;5924024.0;2003.0;Naturstrom;[53.4681548, 10.0309606];1975
HH;Neuland;Enercon E-40/5.40;Repower 3.2M115;Enercon;500.0;kW Nennleist. Rotor.;32568015.0;5924024.0;2003.0;Naturstrom;[53.4681548, 10.0309606];1975
HH;Neuland;Enercon E-40/5.40;Enercon E-82/2000;Enercon;500.0;kW Nennleist. Rotor.;32568015.0;5924024.0;2003.0;Naturstrom;[53.4681548, 10.0309606];1975
HH;Neuland;Enercon E-40/5.40;Enercon E-82/2300;Enercon;500.0;kW Nennleist. Rotor.;32568015.0;5924024.0;2003.0;Naturstrom;[53.4681548, 10.0309606];1975
HH;Ochsenwerder;NEG Micon NM48/600;Enercon E-82/2350;MNEG Micon;600.0;kW Nennleist. Rotor.;32572613.0;5923722.0;1998.0;NET OHG;[53.4752031, 10.0810767];1975
HH;Ochsenwerder;NEG Micon NM48/600;Enercon E-82/3000;MNEG Micon;600.0;kW Nennleist. Rotor.;32572613.0;5923722.0;1998.0;NET OHG;[53.4752031, 10.0810767];1975
HH;Ochsenwerder;Nordex N117/2400;Enercon E-115/3000;Nordex;2400.0;kW Nennleist. Rotor.;32572613.0;5923722.0;2018.0;NET OHG;[53.4752031, 10.0810767];1975
HH;Ochsenwerder;Nordex N117/2400;Enercon E-115/3200;Nordex;2400.0;kW Nennleist. Rotor.;32572613.0;5923722.0;2018.0;NET OHG;[53.4752031, 10.0810767];1975
HH;Ochsenwerder;Nordex N117/2400;Enercon E-115/4200;Nordex;2400.0;kW Nennleist. Rotor.;32572613.0;5923722.0;2018.0;NET OHG;[53.4752031, 10.0810767];1975
HH;Ochsenwerder;Nordex N117/2400;Enercon E-101/3051;Nordex;2400.0;kW Nennleist. Rotor.;32572613.0;5923722.0;2018.0;NET OHG;[53.4752031, 10.0810767];1975
HH;Trimet;Siemens SWT-3.0-113;Senvion 3.4 M104;Siemens;3000.0;kW Nennleist. Rotor.;32559370.0;5929410.0;2016.0;Notus Energy;[53.5127251, 9.8881836];1975
HH;Trimet;Siemens SWT-3.0-113;Senvion 3.4 M114;Siemens;3000.0;kW Nennleist. Rotor.;32559370.0;5929410.0;2016.0;Notus Energy;[53.5127251, 9.8881836];1975
HH;Trimet;Siemens SWT-3.0-113;Senvion 3.4 M122;Siemens;3000.0;kW Nennleist. Rotor.;32559370.0;5929410.0;2016.0;Notus Energy;[53.5127251, 9.8881836];1975
HH;Waltershof;Nordex N117/3000;Senvion 3.4 M140;Nordex;3000.0;kW Nennleist. Rotor.;32559838.0;5930312.0;2017.0;Hamburg Energie;[53.5196541, 9.9109317];1975
HH;Waltershof;Nordex N117/3000;Nordex N117/4200;Nordex;3000.0;kW Nennleist. Rotor.;32559838.0;5930312.0;2017.0;Hamburg Energie;[53.5196541, 9.9109317];1975
HH;Waltershof;Nordex N117/3000;Nordex N117/4800;Nordex;3000.0;kW Nennleist. Rotor.;32559838.0;5930312.0;2017.0;Hamburg Energie;[53.5196541, 9.9109317];1975
